,PMID,sent-idx,sentence
0,18337284,0,Once-daily amoxicillin versus twice-daily penicillin V in group
1,18337284,1,"A beta-haemolytic streptococcal pharyngitis.

"
2,18337284,2,"BACKGROUND Rheumatic fever is a preventable chronic disease preceded by group A beta-haemolytic streptococcal (GABHS) pharyngitis.
"
3,18337284,3,OBJECTIVE
4,18337284,4,"To test the non-inferiority of once-daily (QD) oral amoxicillin to the recommended twice-daily (BID) oral penicillin V in GABHS pharyngitis.
"
5,18337284,5,METHODS
6,18337284,6,This was a randomised non-inferiority trial carried out in a school-based clinic in New Zealand.
7,18337284,7,Children presenting with GABHS pharyngitis were randomised to oral amoxicillin 1500 mg QD (or 750 mg if bodyweight was <or=30 kg) or to oral penicillin V 500 mg BID (or 250 mg if bodyweight was <or=20 kg) for 10 days.
8,18337284,8,"Observed medication and weekend diary cards were used to monitor adherence.
"
9,18337284,9,"OUTCOME Eradication of GABHS, determined with follow-up throat cultures on days 3-6, 12-16 and 26-36."
10,18337284,10,GABHS isolates were serotyped to distinguish bacteriological treatment failures (and relapses) from new acquisitions.
11,18337284,11,"Non-inferiority was defined as an upper 95% confidence limit (CL) for the difference in success of eradication in the amoxicillin and penicillin V treatment groups of <or=10%.
"
12,18337284,12,RESULTS
13,18337284,13,353 children with positive throat swabs for GABHS were randomised to amoxicillin (n = 177) or penicillin V (n = 176).
14,18337284,14,"The upper 95% CL for the differences in positive cultures between the antibiotics was 4.9% at days 3-6, 6.5% at days 12-16 and 8.5% at days 26-36."
15,18337284,15,"Treatment failures (including relapses) occurred at each visit in 5.8%, 12.7% and 10.7% of amoxicillin recipients and 6.2%, 11.9% and 11.3% of penicillin V recipients, respectively."
16,18337284,16,No significant differences in resolution of symptoms were noted between treatment groups.
17,18337284,17,"One case of unsubstantiated acute rheumatic fever occurred after 7 days of amoxicillin.
"
18,18337284,18,CONCLUSION
19,18337284,19,"In this adequately powered study, once-daily oral amoxicillin is not inferior to twice-daily penicillin V for the treatment and eradication of GABHS in children with pharyngitis.

"
20,24726342,0,"Assessment of acute bronchodilator effects from specific airway resistance changes in stable COPD patients.

"
21,24726342,1,BACKGROUND
22,24726342,2,"In COPD patients, reversibility is currently evaluated from the changes of forced expiratory volume at 1s (ΔFEV1) and forced vital capacity (ΔFVC)."
23,24726342,3,"By lowering peripheral airway smooth muscle tone, bronchodilators should decrease dynamic hyperinflation, gas trapping, and possibly dyspnea at rest."
24,24726342,4,"Hence, we hypothesize that specific airway resistance changes (ΔsRAW) should better characterize the acute response to bronchodilators.
"
25,24726342,5,METHODS
26,24726342,6,"On two days, 60 COPD patients underwent dyspnea evaluation (VAS score) and pulmonary function testing at baseline and one hour after placebo or 300μg indacaterol administration.
"
27,24726342,7,"RESULTS Spirographic and ΔsRAW-based criteria identified as responders 24 and 45 patients, respectively."
28,24726342,8,"ΔsRAW correlated with changes of intrathoracic gas volume (ΔITGV) (r=0.61; p<0.001), residual volume (ΔRV) (r=0.60; p<0.001), ΔFVC (r=0.44; p=0.001), and ΔVAS (r=0.73; p<0.001), while ΔFEV1 correlated only with ΔFVC (r=0.34; p=0.008)."
29,24726342,9,"Significant differences in terms of ΔITGV (p=0.002), ΔRV (p=0.023), and ΔVAS (p<0.001) occurred only if patients were stratified according to ΔsRAW.
"
30,24726342,10,CONCLUSIONS
31,24726342,11,"In assessing the acute functional effect of bronchodilators, ΔsRAW-based criterion is preferable to FEV1-FVC-based criteria, being more closely related to bronchodilator-induced improvements of lung mechanics and dyspnea at rest.

"
32,20618920,0,"Effectiveness of hygienic-dietary recommendations as enhancers of antidepressant treatment in patients with depression: study protocol of a randomized controlled trial.

"
33,20618920,1,BACKGROUND
34,20618920,2,"In recent years some studies have been published supporting the efficacy of light exposure, physical activity, sleep control and a Mediterranean diet pattern on the improvement or prevention of depression."
35,20618920,3,"However, to our knowledge, there have been no studies using all these measures together as an adjuvant antidepressant strategy.
"
36,20618920,4,"METHODS Multicenter, randomized, controlled, two arm-parallel, clinical trial."
37,20618920,5,"Eighty depressed patients undergoing standard antidepressant treatment will be advised to follow four additional hygienic-dietary recommendations about exercise, diet, sunlight exposure and sleep."
38,20618920,6,"Outcome measures will be assessed before and after the 6 month intervention period.
"
39,20618920,7,DISCUSSION
40,20618920,8,We expect the patients in the active recommendations group to experience a greater improvement in their depressive symptoms.
41,20618920,9,"If so, this would be a great support for doctors who might systematically recommend these simple and costless measures, especially in primary care.
"
42,20618920,10,"TRIAL REGISTRATION ISRCTN59506583.

"
43,16427787,0,"Sleep-anticipating effects of melatonin in the human brain.

"
44,16427787,1,"Melatonin, the hormone produced nocturnally by the pineal gland, is an endogenous regulator of the sleep-wake cycle."
45,16427787,2,"The effects of melatonin on brain activities and their relation to induction of sleepiness were studied in a randomized, double-blind, placebo controlled functional magnetic resonance imaging (fMRI) study."
46,16427787,3,"Melatonin, but not placebo, reduced task-related activity in the rostro-medial aspect of the occipital cortex during a visual-search task and in the auditory cortex during a music task."
47,16427787,4,These effects correlated with subjective measurements of fatigue.
48,16427787,5,"In addition, melatonin enhanced the activation in the left parahippocampus in an autobiographic memory task."
49,16427787,6,Results demonstrate that melatonin modulates brain activity in a manner resembling actual sleep although subjects are fully awake.
50,16427787,7,"Furthermore, the fatigue inducing effect of melatonin on brain activity is essentially different from that of sleep deprivation thus revealing differences between fatigues related to the circadian sleep regulation as opposed to increased homeostatic sleep need."
51,16427787,8,"Our findings highlight the role of melatonin in priming sleep-associated brain activation patterns in anticipation of sleep.

"
52,24317958,0,"The effect of four different irrigation systems in the removal of a root canal sealer.

"
53,24317958,1,OBJECTIVES
54,24317958,2,"The aim of this study was to compare the efficiency of sonic, ultrasonic, and hydrodynamic devices in the removal of a root canal sealer from the surface and from simulated irregularities of root canals.
"
55,24317958,3,MATERIALS AND METHODS Fifty-three root canals with two standardized grooves in the apical and coronal parts of longitudinally split roots were covered with AH Plus root canal sealer.
56,24317958,4,"Compared were the effects of (control) syringe irrigation, (1) CanalBrush, (2) passive ultrasonic irrigation, (3) EndoActivator, and (4) RinsEndo on the removal of the sealer."
57,24317958,5,The specimens were divided into four groups (N = 12) and one control group (N = 5) via randomization.
58,24317958,6,"The amount of remaining sealer in the root canal irregularities was evaluated under a microscope using a 4-grade scoring system, whereas the remaining sealer on the root canal surface was evaluated with a 7-grade scoring system.
"
59,24317958,7,RESULTS Passive ultrasonic irrigation is more effective than the other tested irrigation systems or syringe irrigation in removing sealer from root canal walls (p < 0.01).
60,24317958,8,"None of the techniques had a significant effect on cleaning the lateral grooves.
"
61,24317958,9,CONCLUSIONS
62,24317958,10,Within the limitations of this study protocol ultrasonic irrigation shows a superior effect on sealer removal from the root canal surface during endodontic retreatment.
63,24317958,11,"Cleaning of lateral grooves seems not to be possible with one of the techniques investigated.
"
64,24317958,12,CLINICAL RELEVANCE Incomplete removal of root canal sealer during re-treatment may cause treatment failure.
65,24317958,13,"Passive Ultrasonic irrigation seems to be the most effective system to remove sealer from a root canal.

"
66,8911222,0,"Effects of tryptophan depletion in drug-free adults with autistic disorder.

"
67,8911222,1,BACKGROUND
68,8911222,2,"The primary objective of this study was to investigate the behavioral and biochemical responses to acute tryptophan depletion in drug-free adult patients with autistic disorder.
"
69,8911222,3,METHODS Twenty drug-free adults with autistic disorder (16 men and 4 women)
70,8911222,4,(mean [+/-
71,8911222,5,"SD] age, 30.5 +/-"
72,8911222,6,"8.5 years) underwent short-term tryptophan depletion in a double-blind, placebo-controlled, randomized crossover design."
73,8911222,7,"Patients received a 24-hour, low-tryptophan diet followed the next morning by an amino acid drink."
74,8911222,8,"Behavioral ratings were obtained on the morning of the amino acid drink (baseline) and 180, 300, and 420 minutes after the drink."
75,8911222,9,Plasma free and total tryptophan levels were obtained at baseline and 5 hours after the drink.
76,8911222,10,"The active and sham testing sessions were separated by 7 days.
"
77,8911222,11,"RESULTS Eleven (65%) of the 17 patients who completed both test days showed a significant global worsening of behavioral symptoms with short-term tryptophan depletion, but none of the 17 patients showed any significant change in clinical status from baseline after sham depletion (P = .001)."
78,8911222,12,"Tryptophan depletion led to a significant increase in behaviors such as whirling, flapping, pacing, banging and hitting self, rocking, and toe walking (P < .05)."
79,8911222,13,"In addition, patients were significantly less calm and happy and more anxious."
80,8911222,14,No significant change was observed in social relatedness or repetitive thoughts and behavior.
81,8911222,15,"Plasma total and free tryptophan levels were reduced 86% and 69%, respectively, 5 hours after the tryptophan-deficient amino acid drink."
82,8911222,16,"Patients who had a significant global exacerbation of symptoms had significantly higher baseline plasma total tryptophan levels (P < .001) and Autism Behavior Checklist scores (P = .005) than did patients who showed no significant change in symptoms after tryptophan depletion.
"
83,8911222,17,CONCLUSIONS
84,8911222,18,The results of this study are consistent with previous research that has implicated a dysregulation in serotonin function in some patients with autism.
85,8911222,19,These data suggest that the short-term reduction of serotonin precursor availability may exacerbate some symptoms characteristic of autism in some patients.
86,8911222,20,"Continued investigation into the role of serotonin in the pathogenesis and treatment of autistic disorder is warranted.

"
87,3074300,0,"Role of angiotensin-converting enzyme inhibitors in early antihypertensive treatment in non-insulin dependent diabetes mellitus.

"
88,3074300,1,The effect of captopril monotherapy on blood pressure and metabolism was investigated in a placebo-controlled study in 30 non-insulin dependent (Type II) diabetic subjects during a 3-week observation period (run-in/drug; placebo/wash-out) on a metabolic ward.
89,3074300,2,Captopril significantly reduced both systolic and diastolic blood pressure (154/90 +/-
90,3074300,3,5/2 vs. 144/86 +/-
91,3074300,4,4/3 mmHg) without major side effects.
92,3074300,5,Mean run-in postprandial blood glucose concentrations were also reduced upon ACE-inhibition (9 a.m.: 12.7 +/-
93,3074300,6,0.4 vs. 11.1 +/-
94,3074300,7,0.4 mmol/l; 1 p.m.:
95,3074300,8,"11.0 +/- 0.3 vs. 8.9 +/- 0.3 mmol/l; P less than 0.05), while blood kinin concentrations (40.0 +/-"
96,3074300,9,2.5 pmol/l) were approximately doubled (108.8 +/- 23.5 pmol/l; P less than 0.05).
97,3074300,10,"Body mass index, fasting plasma insulin, serum electrolyte pattern, uric acid, white blood count, lipid profile as well as hepatic and renal function parameters remained unaltered throughout the observation period."
98,3074300,11,The data are in line with recent experimental studies showing a beneficial metabolic effect of captopril in Type II diabetes.
99,3074300,12,"ACE inhibitors might therefore become first-line drugs in early antihypertensive intervention in Type II diabetic patients.

"
100,1968178,0,"Effects of cuff inflation on self-recorded blood pressure.

"
101,1968178,1,Changes in continuously recorded 'Finapres' finger blood pressure in ten normotensive and seven hypertensive subjects induced by self-inflation of the cuff or just wearing the inflated cuff were studied.
102,1968178,2,"Inflating the cuff caused an instantaneous rise in systolic blood pressure of 13 and 12 mm Hg (hypertensive and normotensive subjects, respectively)."
103,1968178,3,Wearing the inflated cuff did not change blood pressure.
104,1968178,4,Thus the rise in pressure was related to the muscular activity required for cuff inflation.
105,1968178,5,Systolic blood pressure took on average 7 s and at most 21 s to return to baseline level after stopping cuff inflation.
106,1968178,6,"Since first Korotkoff sounds may already be heard after 10-15 s when following recommended procedures, self-recorded systolic blood pressure may be recorded as too high when subjects inflate their cuff at too low a pressure or deflate it too fast.

"
107,18783504,0,"Psychological mediators of bupropion sustained-release treatment for smoking cessation.

"
108,18783504,1,AIM
109,18783504,2,"The study aimed to test simultaneously our understanding of the effects of bupropion sustained-release (SR) treatment on putative mediators and our understanding of determinants of post-quit abstinence, including withdrawal distress, cigarette craving, positive affect and subjective reactions to cigarettes smoked during a lapse."
110,18783504,3,"The specificity of bupropion SR effects was also tested in exploratory analyses.
"
111,18783504,4,"DESIGN Data from a randomized, placebo-controlled clinical trial of bupropion SR were submitted to mediation analyses.
"
112,18783504,5,"SETTING Center for Tobacco Research and Intervention, Madison, WI, USA.
"
113,18783504,6,"PARTICIPANTS A total of 403 adult, daily smokers without contraindications to bupropion SR use.
"
114,18783504,7,"INTERVENTION Participants were assigned randomly to receive a 9-week course of bupropion SR or placebo pill and to receive eight brief individual counseling sessions or no counseling.
"
115,18783504,8,"MEASUREMENTS Ecological momentary assessment ratings of smoking behavior and putative mediators were collected pre- and post-quit.
"
116,18783504,9,"FINDINGS Results of structural equation and hierarchical linear models did not support the hypothesis that bupropion SR treatment improves short-term abstinence by reducing withdrawal distress or affecting the subjective effects of a lapse cigarette, but provided partial support for mediation by cigarette craving reduction and enhanced positive affect."
117,18783504,10,"Bupropion SR effects on point-prevalence abstinence at 1 month post-quit were also mediated partially by enhanced motivation to quit and self-efficacy.
"
118,18783504,11,"CONCLUSIONS Results provided some support for models of bupropion SR treatment and relapse and suggested that motivational processes may partially account for bupropion SR efficacy.

"
119,24989854,0,"A randomized controlled study of a social skills training for preadolescent children with autism spectrum disorders: generalization of skills by training parents and teachers?

"
120,24989854,1,BACKGROUND Social skills training (SST) is a common intervention for children with autism spectrum disorders (ASDs) to improve their social and communication skills.
121,24989854,2,"Despite the fact that SSTs are often applied in clinical practice, the evidence for the effectiveness of these trainings for children with ASD is inconclusive."
122,24989854,3,"Moreover, long term outcome and generalization of learned skills are little evaluated."
123,24989854,4,"Additionally, there is no research on the influence of involvement of parents and teachers on effectiveness of SST and on the generalization of learned social skills to daily life."
124,24989854,5,"We expect parent and teacher involvement in SST to enhance treatment efficacy and to facilitate generalization of learned skills to daily life.
"
125,24989854,6,METHOD/DESIGN
126,24989854,7,"In a randomized controlled trial (RCT) with three conditions, 120 participants with ASD at the end of primary school (10-12 years of calendar age) have been randomized to SST, SST-PTI (SST with Parent & Teacher Involvement), or care-as-usual."
127,24989854,8,The SST consists of 18 group sessions of 1.5 hours for the children.
128,24989854,9,"In the SST-PTI condition, parents additionally participate in 8 parent sessions and parents and teachers are actively involved in homework assignments."
129,24989854,10,Assessment takes place at three moments: before and immediately after the intervention period and at 6 months follow-up.
130,24989854,11,"Primary outcome is socialization, as an aspect of adaptive functioning."
131,24989854,12,Secondary outcomes focus on specific social skills children learn during SST and on more general social skills pertaining to home and community settings from a multi-informant perspective.
132,24989854,13,"Additionally, possible predictors of treatment outcome will be assessed.
"
133,24989854,14,DISCUSSION
134,24989854,15,The current study is an RCT study evaluating SST in a large sample of Dutch children with ASD in a specific age range (10-12 years).
135,24989854,16,"Strengths of the study are the use of one manualized protocol, application of standardized and internationally used rating instruments, use of multiple raters, investigation of generalization of learned skills to daily life, and the evaluation of efficacy in the longer term by follow-up measures at 6 months after the end of training.
"
136,24989854,17,"TRIAL REGISTRATION NTR2405.

"
137,2223363,0,"Effect of different rates of infusion of propofol for induction of anaesthesia in elderly patients.

"
138,2223363,1,The effect of changing the rate of infusion of propofol for induction of anaesthesia was studied in 60 elderly patients.
139,2223363,2,"Propofol was administered at 300, 600 or 1200 ml h-1 until loss of consciousness (as judged by loss of verbal contact with the patient) had been achieved."
