PMID,text
18337284,"Once-daily amoxicillin versus twice-daily penicillin V in group A beta-haemolytic streptococcal pharyngitis.

BACKGROUND Rheumatic fever is a preventable chronic disease preceded by group A beta-haemolytic streptococcal (GABHS) pharyngitis.
OBJECTIVE To test the non-inferiority of once-daily (QD) oral amoxicillin to the recommended twice-daily (BID) oral penicillin V in GABHS pharyngitis.
METHODS This was a randomised non-inferiority trial carried out in a school-based clinic in New Zealand. Children presenting with GABHS pharyngitis were randomised to oral amoxicillin 1500 mg QD (or 750 mg if bodyweight was <or=30 kg) or to oral penicillin V 500 mg BID (or 250 mg if bodyweight was <or=20 kg) for 10 days. Observed medication and weekend diary cards were used to monitor adherence.
OUTCOME Eradication of GABHS, determined with follow-up throat cultures on days 3-6, 12-16 and 26-36. GABHS isolates were serotyped to distinguish bacteriological treatment failures (and relapses) from new acquisitions. Non-inferiority was defined as an upper 95% confidence limit (CL) for the difference in success of eradication in the amoxicillin and penicillin V treatment groups of <or=10%.
RESULTS 353 children with positive throat swabs for GABHS were randomised to amoxicillin (n = 177) or penicillin V (n = 176). The upper 95% CL for the differences in positive cultures between the antibiotics was 4.9% at days 3-6, 6.5% at days 12-16 and 8.5% at days 26-36. Treatment failures (including relapses) occurred at each visit in 5.8%, 12.7% and 10.7% of amoxicillin recipients and 6.2%, 11.9% and 11.3% of penicillin V recipients, respectively. No significant differences in resolution of symptoms were noted between treatment groups. One case of unsubstantiated acute rheumatic fever occurred after 7 days of amoxicillin.
CONCLUSION In this adequately powered study, once-daily oral amoxicillin is not inferior to twice-daily penicillin V for the treatment and eradication of GABHS in children with pharyngitis.

"
24726342,"Assessment of acute bronchodilator effects from specific airway resistance changes in stable COPD patients.

BACKGROUND In COPD patients, reversibility is currently evaluated from the changes of forced expiratory volume at 1s (ΔFEV1) and forced vital capacity (ΔFVC). By lowering peripheral airway smooth muscle tone, bronchodilators should decrease dynamic hyperinflation, gas trapping, and possibly dyspnea at rest. Hence, we hypothesize that specific airway resistance changes (ΔsRAW) should better characterize the acute response to bronchodilators.
METHODS On two days, 60 COPD patients underwent dyspnea evaluation (VAS score) and pulmonary function testing at baseline and one hour after placebo or 300μg indacaterol administration.
RESULTS Spirographic and ΔsRAW-based criteria identified as responders 24 and 45 patients, respectively. ΔsRAW correlated with changes of intrathoracic gas volume (ΔITGV) (r=0.61; p<0.001), residual volume (ΔRV) (r=0.60; p<0.001), ΔFVC (r=0.44; p=0.001), and ΔVAS (r=0.73; p<0.001), while ΔFEV1 correlated only with ΔFVC (r=0.34; p=0.008). Significant differences in terms of ΔITGV (p=0.002), ΔRV (p=0.023), and ΔVAS (p<0.001) occurred only if patients were stratified according to ΔsRAW.
CONCLUSIONS In assessing the acute functional effect of bronchodilators, ΔsRAW-based criterion is preferable to FEV1-FVC-based criteria, being more closely related to bronchodilator-induced improvements of lung mechanics and dyspnea at rest.

"
20618920,"Effectiveness of hygienic-dietary recommendations as enhancers of antidepressant treatment in patients with depression: study protocol of a randomized controlled trial.

BACKGROUND In recent years some studies have been published supporting the efficacy of light exposure, physical activity, sleep control and a Mediterranean diet pattern on the improvement or prevention of depression. However, to our knowledge, there have been no studies using all these measures together as an adjuvant antidepressant strategy.
METHODS Multicenter, randomized, controlled, two arm-parallel, clinical trial. Eighty depressed patients undergoing standard antidepressant treatment will be advised to follow four additional hygienic-dietary recommendations about exercise, diet, sunlight exposure and sleep. Outcome measures will be assessed before and after the 6 month intervention period.
DISCUSSION We expect the patients in the active recommendations group to experience a greater improvement in their depressive symptoms. If so, this would be a great support for doctors who might systematically recommend these simple and costless measures, especially in primary care.
TRIAL REGISTRATION ISRCTN59506583.

"
16427787,"Sleep-anticipating effects of melatonin in the human brain.

Melatonin, the hormone produced nocturnally by the pineal gland, is an endogenous regulator of the sleep-wake cycle. The effects of melatonin on brain activities and their relation to induction of sleepiness were studied in a randomized, double-blind, placebo controlled functional magnetic resonance imaging (fMRI) study. Melatonin, but not placebo, reduced task-related activity in the rostro-medial aspect of the occipital cortex during a visual-search task and in the auditory cortex during a music task. These effects correlated with subjective measurements of fatigue. In addition, melatonin enhanced the activation in the left parahippocampus in an autobiographic memory task. Results demonstrate that melatonin modulates brain activity in a manner resembling actual sleep although subjects are fully awake. Furthermore, the fatigue inducing effect of melatonin on brain activity is essentially different from that of sleep deprivation thus revealing differences between fatigues related to the circadian sleep regulation as opposed to increased homeostatic sleep need. Our findings highlight the role of melatonin in priming sleep-associated brain activation patterns in anticipation of sleep.

"
24317958,"The effect of four different irrigation systems in the removal of a root canal sealer.

OBJECTIVES The aim of this study was to compare the efficiency of sonic, ultrasonic, and hydrodynamic devices in the removal of a root canal sealer from the surface and from simulated irregularities of root canals.
MATERIALS AND METHODS Fifty-three root canals with two standardized grooves in the apical and coronal parts of longitudinally split roots were covered with AH Plus root canal sealer. Compared were the effects of (control) syringe irrigation, (1) CanalBrush, (2) passive ultrasonic irrigation, (3) EndoActivator, and (4) RinsEndo on the removal of the sealer. The specimens were divided into four groups (N = 12) and one control group (N = 5) via randomization. The amount of remaining sealer in the root canal irregularities was evaluated under a microscope using a 4-grade scoring system, whereas the remaining sealer on the root canal surface was evaluated with a 7-grade scoring system.
RESULTS Passive ultrasonic irrigation is more effective than the other tested irrigation systems or syringe irrigation in removing sealer from root canal walls (p < 0.01). None of the techniques had a significant effect on cleaning the lateral grooves.
CONCLUSIONS Within the limitations of this study protocol ultrasonic irrigation shows a superior effect on sealer removal from the root canal surface during endodontic retreatment. Cleaning of lateral grooves seems not to be possible with one of the techniques investigated.
CLINICAL RELEVANCE Incomplete removal of root canal sealer during re-treatment may cause treatment failure. Passive Ultrasonic irrigation seems to be the most effective system to remove sealer from a root canal.

"
8911222,"Effects of tryptophan depletion in drug-free adults with autistic disorder.

BACKGROUND The primary objective of this study was to investigate the behavioral and biochemical responses to acute tryptophan depletion in drug-free adult patients with autistic disorder.
METHODS Twenty drug-free adults with autistic disorder (16 men and 4 women) (mean [+/- SD] age, 30.5 +/- 8.5 years) underwent short-term tryptophan depletion in a double-blind, placebo-controlled, randomized crossover design. Patients received a 24-hour, low-tryptophan diet followed the next morning by an amino acid drink. Behavioral ratings were obtained on the morning of the amino acid drink (baseline) and 180, 300, and 420 minutes after the drink. Plasma free and total tryptophan levels were obtained at baseline and 5 hours after the drink. The active and sham testing sessions were separated by 7 days.
RESULTS Eleven (65%) of the 17 patients who completed both test days showed a significant global worsening of behavioral symptoms with short-term tryptophan depletion, but none of the 17 patients showed any significant change in clinical status from baseline after sham depletion (P = .001). Tryptophan depletion led to a significant increase in behaviors such as whirling, flapping, pacing, banging and hitting self, rocking, and toe walking (P < .05). In addition, patients were significantly less calm and happy and more anxious. No significant change was observed in social relatedness or repetitive thoughts and behavior. Plasma total and free tryptophan levels were reduced 86% and 69%, respectively, 5 hours after the tryptophan-deficient amino acid drink. Patients who had a significant global exacerbation of symptoms had significantly higher baseline plasma total tryptophan levels (P < .001) and Autism Behavior Checklist scores (P = .005) than did patients who showed no significant change in symptoms after tryptophan depletion.
CONCLUSIONS The results of this study are consistent with previous research that has implicated a dysregulation in serotonin function in some patients with autism. These data suggest that the short-term reduction of serotonin precursor availability may exacerbate some symptoms characteristic of autism in some patients. Continued investigation into the role of serotonin in the pathogenesis and treatment of autistic disorder is warranted.

"
3074300,"Role of angiotensin-converting enzyme inhibitors in early antihypertensive treatment in non-insulin dependent diabetes mellitus.

The effect of captopril monotherapy on blood pressure and metabolism was investigated in a placebo-controlled study in 30 non-insulin dependent (Type II) diabetic subjects during a 3-week observation period (run-in/drug; placebo/wash-out) on a metabolic ward. Captopril significantly reduced both systolic and diastolic blood pressure (154/90 +/- 5/2 vs. 144/86 +/- 4/3 mmHg) without major side effects. Mean run-in postprandial blood glucose concentrations were also reduced upon ACE-inhibition (9 a.m.: 12.7 +/- 0.4 vs. 11.1 +/- 0.4 mmol/l; 1 p.m.: 11.0 +/- 0.3 vs. 8.9 +/- 0.3 mmol/l; P less than 0.05), while blood kinin concentrations (40.0 +/- 2.5 pmol/l) were approximately doubled (108.8 +/- 23.5 pmol/l; P less than 0.05). Body mass index, fasting plasma insulin, serum electrolyte pattern, uric acid, white blood count, lipid profile as well as hepatic and renal function parameters remained unaltered throughout the observation period. The data are in line with recent experimental studies showing a beneficial metabolic effect of captopril in Type II diabetes. ACE inhibitors might therefore become first-line drugs in early antihypertensive intervention in Type II diabetic patients.

"
1968178,"Effects of cuff inflation on self-recorded blood pressure.

Changes in continuously recorded 'Finapres' finger blood pressure in ten normotensive and seven hypertensive subjects induced by self-inflation of the cuff or just wearing the inflated cuff were studied. Inflating the cuff caused an instantaneous rise in systolic blood pressure of 13 and 12 mm Hg (hypertensive and normotensive subjects, respectively). Wearing the inflated cuff did not change blood pressure. Thus the rise in pressure was related to the muscular activity required for cuff inflation. Systolic blood pressure took on average 7 s and at most 21 s to return to baseline level after stopping cuff inflation. Since first Korotkoff sounds may already be heard after 10-15 s when following recommended procedures, self-recorded systolic blood pressure may be recorded as too high when subjects inflate their cuff at too low a pressure or deflate it too fast.

"
18783504,"Psychological mediators of bupropion sustained-release treatment for smoking cessation.

AIM The study aimed to test simultaneously our understanding of the effects of bupropion sustained-release (SR) treatment on putative mediators and our understanding of determinants of post-quit abstinence, including withdrawal distress, cigarette craving, positive affect and subjective reactions to cigarettes smoked during a lapse. The specificity of bupropion SR effects was also tested in exploratory analyses.
DESIGN Data from a randomized, placebo-controlled clinical trial of bupropion SR were submitted to mediation analyses.
SETTING Center for Tobacco Research and Intervention, Madison, WI, USA.
PARTICIPANTS A total of 403 adult, daily smokers without contraindications to bupropion SR use.
INTERVENTION Participants were assigned randomly to receive a 9-week course of bupropion SR or placebo pill and to receive eight brief individual counseling sessions or no counseling.
MEASUREMENTS Ecological momentary assessment ratings of smoking behavior and putative mediators were collected pre- and post-quit.
FINDINGS Results of structural equation and hierarchical linear models did not support the hypothesis that bupropion SR treatment improves short-term abstinence by reducing withdrawal distress or affecting the subjective effects of a lapse cigarette, but provided partial support for mediation by cigarette craving reduction and enhanced positive affect. Bupropion SR effects on point-prevalence abstinence at 1 month post-quit were also mediated partially by enhanced motivation to quit and self-efficacy.
CONCLUSIONS Results provided some support for models of bupropion SR treatment and relapse and suggested that motivational processes may partially account for bupropion SR efficacy.

"
24989854,"A randomized controlled study of a social skills training for preadolescent children with autism spectrum disorders: generalization of skills by training parents and teachers?

BACKGROUND Social skills training (SST) is a common intervention for children with autism spectrum disorders (ASDs) to improve their social and communication skills. Despite the fact that SSTs are often applied in clinical practice, the evidence for the effectiveness of these trainings for children with ASD is inconclusive. Moreover, long term outcome and generalization of learned skills are little evaluated. Additionally, there is no research on the influence of involvement of parents and teachers on effectiveness of SST and on the generalization of learned social skills to daily life. We expect parent and teacher involvement in SST to enhance treatment efficacy and to facilitate generalization of learned skills to daily life.
METHOD/DESIGN In a randomized controlled trial (RCT) with three conditions, 120 participants with ASD at the end of primary school (10-12 years of calendar age) have been randomized to SST, SST-PTI (SST with Parent & Teacher Involvement), or care-as-usual. The SST consists of 18 group sessions of 1.5 hours for the children. In the SST-PTI condition, parents additionally participate in 8 parent sessions and parents and teachers are actively involved in homework assignments. Assessment takes place at three moments: before and immediately after the intervention period and at 6 months follow-up. Primary outcome is socialization, as an aspect of adaptive functioning. Secondary outcomes focus on specific social skills children learn during SST and on more general social skills pertaining to home and community settings from a multi-informant perspective. Additionally, possible predictors of treatment outcome will be assessed.
DISCUSSION The current study is an RCT study evaluating SST in a large sample of Dutch children with ASD in a specific age range (10-12 years). Strengths of the study are the use of one manualized protocol, application of standardized and internationally used rating instruments, use of multiple raters, investigation of generalization of learned skills to daily life, and the evaluation of efficacy in the longer term by follow-up measures at 6 months after the end of training.
TRIAL REGISTRATION NTR2405.

"
